Tahun,Provinsi,sisa_makanan,kayu_ranting,kertas_karton,plastik,logam,kain,karet_kulit,kaca,lainnya
2022,Jawa Timur,4.0,2.0,6.0,4.0,1.0,0.0,0.0,1.0,0.0
2022,Banten,30.0,12.0,10.0,15.0,8.0,5.0,5.0,10.0,5.0
2022,Banten,38.15,19.5,14.89,18.6,1.55,3.16,0.83,2.28,1.04
2022,Banten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Banten,57.65,0.44,13.18,19.66,1.07,2.32,0.8,0.37,4.51
2022,Banten,40.0,17.0,10.0,16.0,4.0,0.0,0.0,1.0,0.0
2022,Banten,66.05,5.06,8.1,20.05,0.3,0.13,0.21,0.09,0.01
2022,Banten,35.63,14.08,13.45,17.36,0.38,0.67,0.48,0.85,17.1
2022,Bali,27.37,47.94,0.84,19.04,0.71,0.03,3.13,0.61,0.33
2022,Bali,16.0,33.9,11.1,28.4,2.6,2.1,0.67,0.9,4.33
2022,Bali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Bali,29.0,41.0,4.0,14.0,1.0,0.0,7.0,0.0,4.0
2022,Bali,13.0,69.0,1.8,5.5,3.4,0.01,1.03,3.2,3.06
2022,Bali,59.0,10.0,18.0,8.0,1.0,1.0,1.0,1.0,1.0
2022,Bali,4.0,68.41,6.69,14.69,0.23,1.79,0.52,0.77,2.9
2022,Bali,6.57,69.85,6.34,8.21,1.52,0.47,0.55,1.12,5.37
2022,Nusa Tenggara Barat,20.0,11.4,19.3,0.78,9.7,0.3,7.6,0.1,9.0
2022,Nusa Tenggara Barat,55.0,0.0,9.0,13.0,10.0,0.0,0.0,0.0,13.0
2022,Nusa Tenggara Barat,36.0,23.0,3.5,19.0,7.0,4.0,3.0,4.0,0.5
2022,Nusa Tenggara Barat,38.21,8.18,12.19,20.34,2.36,0.51,0.68,4.28,13.25
2022,Nusa Tenggara Barat,40.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,30.0
2022,Nusa Tenggara Barat,60.0,5.0,5.0,15.0,5.0,2.0,2.0,2.0,4.0
2022,Nusa Tenggara Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Nusa Tenggara Barat,34.0,22.0,7.0,20.0,6.0,5.0,2.0,4.0,0.0
2022,Nusa Tenggara Timur,20.0,25.0,15.0,28.0,3.0,2.0,0.0,5.0,2.0
2022,Nusa Tenggara Timur,28.5,16.5,14.0,20.5,5.0,3.0,1.5,2.5,8.5
2022,Kalimantan Barat,40.0,5.6,14.2,25.0,0.3,1.0,0.9,2.0,11.0
2022,Kalimantan Barat,1.0,8.1,1.6,13.4,15.1,0.0,8.3,0.0,52.5
2022,Kalimantan Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kalimantan Barat,44.77,1.32,12.8,28.62,2.2,1.51,2.56,2.29,3.93
2022,Kalimantan Barat,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
